AgentID,Episode,AverageAngle
34342,TrainingEnd,0.5221584
33454,TrainingEnd,0.8143269
34034,TrainingEnd,0.5433271
36268,TrainingEnd,0.3338641
33870,TrainingEnd,1.267388
35818,TrainingEnd,0.9950012
34342,TrainingEnd,0.6072614
33454,TrainingEnd,0.4700128
34034,TrainingEnd,0.8298615
36268,TrainingEnd,1.240464
33870,TrainingEnd,1.938864
35818,TrainingEnd,0.7107399
36268,TrainingEnd,1.98078
34342,TrainingEnd,0.7204181
33454,TrainingEnd,0.8555182
34034,TrainingEnd,0.468448
33870,TrainingEnd,1.74205
35818,TrainingEnd,1.017313
33454,1,2.025761
33870,1,1.124796
34034,1,2.126791
34342,1,0.8614747
35818,1,0.4364427
36268,1,0.5068674
33454,2,0.5748634
33870,2,0.3524156
34034,2,0.7119908
34342,2,0.6220273
35818,2,0.8148208
36268,2,0.8241892
33454,3,0.1936817
33870,3,0.6363438
34034,3,0.824052
34342,3,1.832859
35818,3,0.3501725
36268,3,0.474038
33454,4,0.6438812
33870,4,1.271391
34034,4,0.770472
34342,4,1.431302
35818,4,1.377294
36268,4,1.207993
33454,5,0.3130714
33870,5,0.3881324
34034,5,1.95375
34342,5,1.361918
35818,5,1.90028
36268,5,0.6242417
33454,6,1.170306
33870,6,1.277916
34034,6,0.6915773
34342,6,1.418276
35818,6,1.870047
36268,6,1.553342
33454,7,0.2853972
33870,7,0.7468452
34034,7,0.8228676
34342,7,0.5449103
35818,7,0.3010046
36268,7,0.8974432
33454,8,0.5762794
33870,8,1.329425
34034,8,0.4532898
34342,8,0.4005659
35818,8,0.8730888
36268,8,0.2818397
33454,9,0.8652586
33870,9,0.5307595
34034,9,0.2944302
34342,9,0.4929225
35818,9,2.048128
36268,9,0.3306018
33454,10,0.4582205
33870,10,0.3882663
34034,10,0.9504387
34342,10,1.232486
35818,10,0.3744457
36268,10,0.7375619
33454,11,0.2515906
33870,11,0.9282868
34034,11,0.6508214
34342,11,0.6210338
35818,11,0.7332427
36268,11,0.4468239
33454,12,1.698401
33870,12,0.2500915
34034,12,1.030484
34342,12,0.9684803
35818,12,0.9580843
36268,12,1.896879
33454,13,0.4368116
33870,13,0.4113587
34034,13,1.184478
34342,13,0.3297422
35818,13,0.7146974
36268,13,1.006284
33454,14,0.2095305
33870,14,0.3825651
34034,14,0.2123707
34342,14,0.6700723
35818,14,0.6602445
36268,14,0.6971105
33454,15,0.2197705
33870,15,0.2298272
34034,15,0.2834137
34342,15,0.2418461
35818,15,0.4321116
36268,15,0.7462227
33454,16,0.521493
33870,16,0.7472998
34034,16,0.396189
34342,16,0.3359896
35818,16,0.2705858
36268,16,0.5471283
33454,17,1.196243
33870,17,0.2464276
34034,17,0.1798645
34342,17,0.2049748
35818,17,1.40696
36268,17,0.2441323
33454,18,0.3914416
33870,18,0.2630395
34034,18,0.3677146
34342,18,0.3006869
35818,18,0.2791074
36268,18,0.7644454
33454,19,0.2787715
33870,19,0.2779863
34034,19,0.1867598
34342,19,0.1889862
35818,19,0.3461683
36268,19,0.4624326
33454,20,0.1545535
33870,20,0.5157797
34034,20,0.2652892
34342,20,0.3214556
35818,20,0.6630538
36268,20,0.2156946
33454,21,0.4069695
33870,21,0.4654022
34034,21,0.3489371
34342,21,0.7534161
35818,21,0.2044844
36268,21,0.2739783
33454,22,0.1928668
33870,22,0.2745335
34034,22,0.2124627
34342,22,0.1758004
35818,22,0.815294
36268,22,0.305477
33454,23,0.1356622
33870,23,2.074953
34034,23,0.671679
34342,23,0.187482
35818,23,0.2021559
36268,23,1.917572
33454,24,0.7259803
33870,24,0.3706093
34034,24,0.2356817
34342,24,0.4805107
35818,24,0.262969
36268,24,0.5923706
33454,25,0.3965329
33870,25,0.2303408
34034,25,0.2525556
34342,25,0.1479373
35818,25,0.2657987
36268,25,2.108114
33454,26,0.9927752
33870,26,0.1723542
34034,26,0.5387295
34342,26,1.979536
35818,26,0.224799
36268,26,0.8400145
33454,27,0.148501
33870,27,0.1693651
34034,27,0.3945194
34342,27,0.433189
35818,27,0.5814483
36268,27,0.6360723
33454,28,0.4718597
33870,28,0.2925918
34034,28,0.6665668
34342,28,0.3495398
35818,28,0.1991328
36268,28,0.151723
36268,TrainingEnd,0.2128645
34342,TrainingEnd,0.185307
33454,TrainingEnd,0.1718887
34034,TrainingEnd,0.1823319
33870,TrainingEnd,1.033414
35818,TrainingEnd,0.2239175
