AgentID,Episode,AverageAngle
34342,TrainingEnd,0.7748697
33454,TrainingEnd,0.5349624
34034,TrainingEnd,0.9985079
36268,TrainingEnd,0.3925237
33870,TrainingEnd,1.014922
35818,TrainingEnd,0.4907554
34342,TrainingEnd,0.4395318
33454,TrainingEnd,0.3886077
34034,TrainingEnd,0.7621752
36268,TrainingEnd,1.475379
33870,TrainingEnd,0.273051
35818,TrainingEnd,0.4934534
33454,1,0.4934259
33870,1,0.6651525
34034,1,0.7801597
34342,1,0.7279416
35818,1,0.6859166
36268,1,2.04991
33454,2,1.504594
33870,2,1.081244
34034,2,1.212709
34342,2,2.176804
35818,2,0.2017001
36268,2,0.6556559
33454,3,1.168549
33870,3,0.7661188
34034,3,2.068298
34342,3,0.7514476
35818,3,0.7873641
36268,3,0.7191104
33454,4,0.8265861
33870,4,0.8829629
34034,4,0.5213971
34342,4,1.954087
35818,4,1.931706
36268,4,0.2585631
33454,5,1.26042
33870,5,1.005588
34034,5,1.113514
34342,5,0.7548891
35818,5,1.869178
36268,5,0.2955017
33454,6,0.9511727
33870,6,0.4194092
34034,6,0.8550454
34342,6,0.6011994
35818,6,0.481458
36268,6,0.4954192
33454,7,0.3366285
33870,7,0.5729289
34034,7,0.3429371
34342,7,0.98997
35818,7,1.044345
36268,7,0.6201766
33454,8,0.2541619
33870,8,0.3472903
34034,8,1.517986
34342,8,0.2788921
35818,8,0.2337735
36268,8,0.9839007
33454,9,0.347342
33870,9,0.4066936
34034,9,0.8823972
34342,9,0.5914679
35818,9,0.4075145
36268,9,0.7659121
33454,10,1.012267
33870,10,0.8735834
34034,10,0.2417971
34342,10,0.5400096
35818,10,0.2353614
36268,10,0.6568489
33454,11,0.958205
33870,11,0.2359713
34034,11,1.615827
34342,11,0.5638669
35818,11,0.4932582
36268,11,0.7848347
33454,12,1.298111
33870,12,1.659155
34034,12,0.28283
34342,12,0.4617191
35818,12,0.4003987
36268,12,0.33589
33454,13,0.3471864
33870,13,0.5593475
34034,13,0.1910931
34342,13,0.7254888
35818,13,1.825536
36268,13,2.153202
33454,14,0.6522599
33870,14,0.7000554
34034,14,2.394378
34342,14,1.239179
35818,14,1.186308
36268,14,0.8357269
33454,15,0.211195
33870,15,2.570655
34034,15,0.3715285
34342,15,1.799988
35818,15,0.3190683
36268,15,0.254918
33454,16,1.082455
33870,16,1.967231
34034,16,1.356783
34342,16,1.073993
35818,16,0.4270625
36268,16,0.2683191
33454,17,1.221276
33870,17,0.3036887
34034,17,1.248433
34342,17,0.2947444
35818,17,2.158384
36268,17,0.2063699
33454,18,0.3037482
33870,18,0.2426253
34034,18,0.9786457
34342,18,0.2237202
35818,18,0.5676969
36268,18,0.3087724
33454,19,1.715419
33870,19,0.3971799
34034,19,0.1267075
34342,19,1.92096
35818,19,0.3064449
36268,19,1.77003
33454,20,0.9910824
33870,20,0.3202731
34034,20,2.11633
34342,20,0.6617925
35818,20,0.5172333
36268,20,0.2024706
33454,21,0.461234
33870,21,1.153816
34034,21,1.340615
34342,21,1.394519
35818,21,0.271922
36268,21,0.2910792
33454,22,0.2268673
33870,22,0.4857483
34034,22,0.3443947
34342,22,0.2389195
35818,22,0.1767533
36268,22,0.2408919
33454,23,1.446346
33870,23,0.2143152
